actor,movie
Melissa Benoist,Whiplash
Christian Bale,The Prestige
Hugh Jackman,The Prestige
Scarlett Johansson,The Prestige
Tsutomu Tatsumi,Grave of the Fireflies
Ayano Shiraishi,Grave of the Fireflies
Akemi Yamaguchi,Grave of the Fireflies
Tatsuya Nakadai,Harakiri
Akira Ishihama,Harakiri
Shima Iwashita,Harakiri
Kevin Spacey,The Usual Suspects
Gabriel Byrne,The Usual Suspects
Chazz Palminteri,The Usual Suspects
Humphrey Bogart,Casablanca
Ingrid Bergman,Casablanca
Paul Henreid,Casablanca
François Cluzet,The Intouchables
Omar Sy,The Intouchables
Anne Le Ny,The Intouchables
Philippe Noiret,Cinema Paradiso
Enzo Cannavale,Cinema Paradiso
Antonella Attili,Cinema Paradiso
Charles Chaplin,Modern Times
Paulette Goddard,Modern Times
Henry Bergman,Modern Times
James Stewart,Rear Window
Grace Kelly,Rear Window
Wendell Corey,Rear Window
Henry Fonda,Once Upon a Time in the West
Charles Bronson,Once Upon a Time in the West
Claudia Cardinale,Once Upon a Time in the West
Sigourney Weaver,Alien
Tom Skerritt,Alien
John Hurt,Alien
Charles Chaplin,City Lights
Virginia Cherrill,City Lights
Florence Lee,City Lights
Jamie Foxx,Django Unchained
Christoph Waltz,Django Unchained
Leonardo DiCaprio,Django Unchained
Martin Sheen,Apocalypse Now
Marlon Brando,Apocalypse Now
Robert Duvall,Apocalypse Now
Guy Pearce,Memento
Carrie-Anne Moss,Memento
Joe Pantoliano,Memento
Vikrant Massey,12th Fail
Medha Shankr,12th Fail
Anant Joshi,12th Fail
Ben Burtt,WALL·E
Elissa Knight,WALL·E
Jeff Garlin,WALL·E
Harrison Ford,Raiders of the Lost Ark
Karen Allen,Raiders of the Lost Ark
Paul Freeman,Raiders of the Lost Ark
Ulrich Mühe,The Lives of Others
Martina Gedeck,The Lives of Others
Sebastian Koch,The Lives of Others
William Holden,Sunset Blvd
Gloria Swanson,Sunset Blvd
Erich von Stroheim,Sunset Blvd
Kirk Douglas,Paths of Glory
Ralph Meeker,Paths of Glory
Adolphe Menjou,Paths of Glory
Robert Downey Jr.,Avengers: Infinity War
Chris Hemsworth,Avengers: Infinity War
Mark Ruffalo,Avengers: Infinity War
Shameik Moore,Spider-Man: Into the Spider-Verse
Jake Johnson,Spider-Man: Into the Spider-Verse
Hailee Steinfeld,Spider-Man: Into the Spider-Verse
Tyrone Power,Witness for the Prosecution
Marlene Dietrich,Witness for the Prosecution
Charles Laughton,Witness for the Prosecution
Jack Nicholson,The Shining
Shelley Duvall,The Shining
Danny Lloyd,The Shining
Charles Chaplin,The Great Dictator
Paulette Goddard,The Great Dictator
Jack Oakie,The Great Dictator
Sigourney Weaver,Aliens
Michael Biehn,Aliens
Carrie Henn,Aliens
Brad Pitt,Inglourious Basterds
Diane Kruger,Inglourious Basterds
Eli Roth,Inglourious Basterds
Christian Bale,The Dark Knight Rises
Tom Hardy,The Dark Knight Rises
Anne Hathaway,The Dark Knight Rises
Peter Sellers,Dr
George C. Scott,Dr
Sterling Hayden,Dr
Kevin Spacey,American Beauty
Annette Bening,American Beauty
Thora Birch,American Beauty
Anthony Gonzalez,Coco
Gael García Bernal,Coco
Benjamin Bratt,Coco
Choi Min-sik,Oldboy
Yoo Ji-tae,Oldboy
Kang Hye-jeong,Oldboy
F. Murray Abraham,Amadeus
Tom Hulce,Amadeus
Elizabeth Berridge,Amadeus
Tom Hanks,Toy Story
Tim Allen,Toy Story
Don Rickles,Toy Story
Jürgen Prochnow,Das Boot
Herbert Grönemeyer,Das Boot
Klaus Wennemann,Das Boot
Robert Downey Jr.,Avengers: Endgame
Chris Evans,Avengers: Endgame
Mark Ruffalo,Avengers: Endgame
Mel Gibson,Braveheart
Sophie Marceau,Braveheart
Patrick McGoohan,Braveheart
Yôji Matsuda,Princess Mononoke
Yuriko Ishida,Princess Mononoke
Yûko Tanaka,Princess Mononoke
Joaquin Phoenix,Joker
Robert De Niro,Joker
Zazie Beetz,Joker
Robin Williams,Good Will Hunting
Matt Damon,Good Will Hunting
Ben Affleck,Good Will Hunting
Ryunosuke Kamiki,Your Name
Mone Kamishiraishi,Your Name
Ryo Narita,Your Name
Robert De Niro,Once Upon a Time in America
James Woods,Once Upon a Time in America
Elizabeth McGovern,Once Upon a Time in America
Toshirô Mifune,High and Low
Yutaka Sada,High and Low
Tatsuya Nakadai,High and Low
Aamir Khan,3 Idiots
Madhavan,3 Idiots
Mona Singh,3 Idiots
Gene Kelly,Singin' in the Rain
Donald O'Connor,Singin' in the Rain
Debbie Reynolds,Singin' in the Rain
Zain Al Rafeea,Capernaum
Yordanos Shiferaw,Capernaum
Boluwatife Treasure Bankole,Capernaum
Aleksey Kravchenko,Come and See
Olga Mironova,Come and See
Liubomiras Laucevicius,Come and See
Ellen Burstyn,Requiem for a Dream
Jared Leto,Requiem for a Dream
Jennifer Connelly,Requiem for a Dream
Tom Hanks,Toy Story 3
Tim Allen,Toy Story 3
Joan Cusack,Toy Story 3
Mark Hamill,Star Wars: Episode VI - Return of the Jedi
Harrison Ford,Star Wars: Episode VI - Return of the Jedi
Carrie Fisher,Star Wars: Episode VI - Return of the Jedi
Jim Carrey,Eternal Sunshine of the Spotless Mind
Kate Winslet,Eternal Sunshine of the Spotless Mind
Tom Wilkinson,Eternal Sunshine of the Spotless Mind
Mads Mikkelsen,The Hunt
Thomas Bo Larsen,The Hunt
Annika Wedderkopp,The Hunt
Cillian Murphy,Oppenheimer
Emily Blunt,Oppenheimer
Matt Damon,Oppenheimer
Keir Dullea,2001: A Space Odyssey
Gary Lockwood,2001: A Space Odyssey
William Sylvester,2001: A Space Odyssey
Harvey Keitel,Reservoir Dogs
Tim Roth,Reservoir Dogs
Michael Madsen,Reservoir Dogs
Takashi Shimura,Ikiru
Nobuo Kaneko,Ikiru
Shin'ichi Himori,Ikiru
Peter O'Toole,Lawrence of Arabia
Alec Guinness,Lawrence of Arabia
Anthony Quinn,Lawrence of Arabia
Jack Lemmon,The Apartment
Shirley MacLaine,The Apartment
Fred MacMurray,The Apartment
Cary Grant,North by Northwest
Eva Marie Saint,North by Northwest
James Mason,North by Northwest
Lubna Azabal,Incendies
Mélissa Désormeaux-Poulin,Incendies
Maxim Gaudette,Incendies
Orson Welles,Citizen Kane
Joseph Cotten,Citizen Kane
Dorothy Comingore,Citizen Kane
Peter Lorre,M
Ellen Widmann,M
Inge Landgut,M
James Stewart,Vertigo
Kim Novak,Vertigo
Barbara Bel Geddes,Vertigo
Fred MacMurray,Double Indemnity
Barbara Stanwyck,Double Indemnity
Edward G. Robinson,Double Indemnity
Al Pacino,Scarface
Michelle Pfeiffer,Scarface
Steven Bauer,Scarface
Matthew Modine,Full Metal Jacket
R. Lee Ermey,Full Metal Jacket
Vincent D'Onofrio,Full Metal Jacket
Audrey Tautou,Amélie
Mathieu Kassovitz,Amélie
Rufus,Amélie
Al Pacino,Heat
Robert De Niro,Heat
Val Kilmer,Heat
Malcolm McDowell,A Clockwork Orange
Patrick Magee,A Clockwork Orange
Michael Bates,A Clockwork Orange
Edward Asner,Up
Jordan Nagai,Up
John Ratzenberger,Up
Gregory Peck,To Kill a Mockingbird
John Megna,To Kill a Mockingbird
Frank Overton,To Kill a Mockingbird
Paul Newman,The Sting
Robert Redford,The Sting
Robert Shaw,The Sting
Payman Maadi,A Separation
Leila Hatami,A Separation
Sareh Bayat,A Separation
Harrison Ford,Indiana Jones and the Last Crusade
Sean Connery,Indiana Jones and the Last Crusade
Alison Doody,Indiana Jones and the Last Crusade
Bruce Willis,Die Hard
Alan Rickman,Die Hard
Bonnie Bedelia,Die Hard
Brigitte Helm,Metropolis
Alfred Abel,Metropolis
Gustav Fröhlich,Metropolis
Darsheel Safary,Like Stars on Earth
Aamir Khan,Like Stars on Earth
Tisca Chopra,Like Stars on Earth
Jason Statham,Snatch
Brad Pitt,Snatch
Stephen Graham,Snatch
Lin-Manuel Miranda,Hamilton
Phillipa Soo,Hamilton
Leslie Odom Jr.,Hamilton
Kevin Spacey,L
Russell Crowe,L
Guy Pearce,L
Dean-Charles Chapman,1917
George MacKay,1917
Daniel Mays,1917
Lamberto Maggiorani,Bicycle Thieves
Enzo Staiola,Bicycle Thieves
Lianella Carell,Bicycle Thieves
Robert De Niro,Taxi Driver
Jodie Foster,Taxi Driver
Cybill Shepherd,Taxi Driver
Bruno Ganz,Downfall
Alexandra Maria Lara,Downfall
Ulrich Matthes,Downfall
Aamir Khan,Dangal
Sakshi Tanwar,Dangal
Fatima Sana Shaikh,Dangal
Clint Eastwood,For a Few Dollars More
Lee Van Cleef,For a Few Dollars More
Gian Maria Volontè,For a Few Dollars More
Christian Bale,Batman Begins
Michael Caine,Batman Begins
Ken Watanabe,Batman Begins
Leonardo DiCaprio,The Wolf of Wall Street
Jonah Hill,The Wolf of Wall Street
Margot Robbie,The Wolf of Wall Street
Marilyn Monroe,Some Like It Hot
Tony Curtis,Some Like It Hot
Jack Lemmon,Some Like It Hot
Viggo Mortensen,Green Book
Mahershala Ali,Green Book
Linda Cardellini,Green Book
Charles Chaplin,The Kid
Edna Purviance,The Kid
Jackie Coogan,The Kid
Anthony Hopkins,The Father
Olivia Colman,The Father
Mark Gatiss,The Father
Spencer Tracy,Judgment at Nuremberg
Burt Lancaster,Judgment at Nuremberg
Richard Widmark,Judgment at Nuremberg
Jim Carrey,The Truman Show
Ed Harris,The Truman Show
Laura Linney,The Truman Show
Bette Davis,All About Eve
Anne Baxter,All About Eve
George Sanders,All About Eve
Tom Cruise,Top Gun: Maverick
Jennifer Connelly,Top Gun: Maverick
Miles Teller,Top Gun: Maverick
Leonardo DiCaprio,Shutter Island
Emily Mortimer,Shutter Island
Mark Ruffalo,Shutter Island
Daniel Day-Lewis,There Will Be Blood
Paul Dano,There Will Be Blood
Ciarán Hinds,There Will Be Blood
Robert De Niro,Casino
Sharon Stone,Casino
Joe Pesci,Casino
Sam Neill,Jurassic Park
Laura Dern,Jurassic Park
Jeff Goldblum,Jurassic Park
Tatsuya Nakadai,Ran
Akira Terao,Ran
Jinpachi Nezu,Ran
Bruce Willis,The Sixth Sense
Haley Joel Osment,The Sixth Sense
Toni Collette,The Sixth Sense
Ivana Baquero,Pan's Labyrinth
Ariadna Gil,Pan's Labyrinth
Sergi López,Pan's Labyrinth
Clint Eastwood,Unforgiven
Gene Hackman,Unforgiven
Morgan Freeman,Unforgiven
Tommy Lee Jones,No Country for Old Men
Javier Bardem,No Country for Old Men
Josh Brolin,No Country for Old Men
Russell Crowe,A Beautiful Mind
Ed Harris,A Beautiful Mind
Jennifer Connelly,A Beautiful Mind
Kurt Russell,The Thing
Wilford Brimley,The Thing
Keith David,The Thing
Uma Thurman,Kill Bill: Vol
David Carradine,Kill Bill: Vol
Daryl Hannah,Kill Bill: Vol
Humphrey Bogart,The Treasure of the Sierra Madre
Walter Huston,The Treasure of the Sierra Madre
Tim Holt,The Treasure of the Sierra Madre
Toshirô Mifune,Yojimbo
Eijirô Tôno,Yojimbo
Tatsuya Nakadai,Yojimbo
Graham Chapman,Monty Python and the Holy Grail
John Cleese,Monty Python and the Holy Grail
Eric Idle,Monty Python and the Holy Grail
Steve McQueen,The Great Escape
James Garner,The Great Escape
Richard Attenborough,The Great Escape
Albert Brooks,Finding Nemo
Ellen DeGeneres,Finding Nemo
Alexander Gould,Finding Nemo
Hugh Jackman,Prisoners
Jake Gyllenhaal,Prisoners
Viola Davis,Prisoners
Toshirô Mifune,Rashomon
Machiko Kyô,Rashomon
Masayuki Mori,Rashomon
Chieko Baishô,Howl's Moving Castle
Takuya Kimura,Howl's Moving Castle
Tatsuya Gashûin,Howl's Moving Castle
Anthony Hopkins,The Elephant Man
John Hurt,The Elephant Man
Anne Bancroft,The Elephant Man
Jack Nicholson,Chinatown
Faye Dunaway,Chinatown
John Huston,Chinatown
Ray Milland,Dial M for Murder
Grace Kelly,Dial M for Murder
Robert Cummings,Dial M for Murder
Clark Gable,Gone with the Wind
Vivien Leigh,Gone with the Wind
Thomas Mitchell,Gone with the Wind
Hugo Weaving,V for Vendetta
Natalie Portman,V for Vendetta
Rupert Graves,V for Vendetta
Jason Flemyng,"Lock, Stock and Two Smoking Barrels"
Dexter Fletcher,"Lock, Stock and Two Smoking Barrels"
Nick Moran,"Lock, Stock and Two Smoking Barrels"
Ricardo Darín,The Secret in Their Eyes
Soledad Villamil,The Secret in Their Eyes
Pablo Rago,The Secret in Their Eyes
Amy Poehler,Inside Out
Bill Hader,Inside Out
Lewis Black,Inside Out
Robert De Niro,Raging Bull
Cathy Moriarty,Raging Bull
Joe Pesci,Raging Bull
Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
Woody Harrelson,"Three Billboards Outside Ebbing, Missouri"
Sam Rockwell,"Three Billboards Outside Ebbing, Missouri"
Ewan McGregor,Trainspotting
Ewen Bremner,Trainspotting
Jonny Lee Miller,Trainspotting
William Holden,The Bridge on the River Kwai
Alec Guinness,The Bridge on the River Kwai
Jack Hawkins,The Bridge on the River Kwai
Jason Schwartzman,Klaus
J.K. Simmons,Klaus
Rashida Jones,Klaus
William H. Macy,Fargo
Frances McDormand,Fargo
Steve Buscemi,Fargo
Tom Holland,Spider-Man: No Way Home
Zendaya,Spider-Man: No Way Home
Benedict Cumberbatch,Spider-Man: No Way Home
Leonardo DiCaprio,Catch Me If You Can
Tom Hanks,Catch Me If You Can
Christopher Walken,Catch Me If You Can
Tom Hardy,Warrior
Nick Nolte,Warrior
Joel Edgerton,Warrior
Clint Eastwood,Gran Torino
Bee Vang,Gran Torino
Christopher Carley,Gran Torino
Hitoshi Takagi,My Neighbor Totoro
Noriko Hidaka,My Neighbor Totoro
Chika Sakamoto,My Neighbor Totoro
Hilary Swank,Million Dollar Baby
Clint Eastwood,Million Dollar Baby
Morgan Freeman,Million Dollar Baby
Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2
Emma Watson,Harry Potter and the Deathly Hallows: Part 2
Rupert Grint,Harry Potter and the Deathly Hallows: Part 2
Mohammad Amir Naji,Children of Heaven
Amir Farrokh Hashemian,Children of Heaven
Bahare Seddiqi,Children of Heaven
Chiwetel Ejiofor,12 Years a Slave
Michael Kenneth Williams,12 Years a Slave
Michael Fassbender,12 Years a Slave
Harrison Ford,Blade Runner
Rutger Hauer,Blade Runner
Sean Young,Blade Runner
Ethan Hawke,Before Sunrise
Julie Delpy,Before Sunrise
Andrea Eckert,Before Sunrise
Charlton Heston,Ben-Hur
Jack Hawkins,Ben-Hur
Stephen Boyd,Ben-Hur
Ryan O'Neal,Barry Lyndon
Marisa Berenson,Barry Lyndon
Patrick Magee,Barry Lyndon
Ralph Fiennes,The Grand Budapest Hotel
F. Murray Abraham,The Grand Budapest Hotel
Mathieu Amalric,The Grand Budapest Hotel
Ben Affleck,Gone Girl
Rosamund Pike,Gone Girl
Neil Patrick Harris,Gone Girl
Andrew Garfield,Hacksaw Ridge
Sam Worthington,Hacksaw Ridge
Luke Bracey,Hacksaw Ridge
Charles Chaplin,The Gold Rush
Mack Swain,The Gold Rush
Tom Murray,The Gold Rush
Song Kang-ho,Memories of Murder
Kim Sang-kyung,Memories of Murder
Kim Roe-ha,Memories of Murder
Daniel Day-Lewis,In the Name of the Father
Pete Postlethwaite,In the Name of the Father
Alison Crosbie,In the Name of the Father
Robin Williams,Dead Poets Society
Robert Sean Leonard,Dead Poets Society
Ethan Hawke,Dead Poets Society
Tom Hardy,Mad Max: Fury Road
Charlize Theron,Mad Max: Fury Road
Nicholas Hoult,Mad Max: Fury Road
Darío Grandinetti,Wild Tales
María Marull,Wild Tales
Mónica Villa,Wild Tales
Robert De Niro,The Deer Hunter
Christopher Walken,The Deer Hunter
John Cazale,The Deer Hunter
Buster Keaton,The General
Marion Mack,The General
Glen Cavender,The General
Marlon Brando,On the Waterfront
Karl Malden,On the Waterfront
Lee J. Cobb,On the Waterfront
Billy Crystal,"Monsters, Inc"
John Goodman,"Monsters, Inc"
Mary Gibbs,"Monsters, Inc"
Buster Keaton,Sherlock Jr
Kathryn McGuire,Sherlock Jr
Joe Keaton,Sherlock Jr
Orson Welles,The Third Man
Joseph Cotten,The Third Man
Alida Valli,The Third Man
Roy Scheider,Jaws
Robert Shaw,Jaws
Richard Dreyfuss,Jaws
Jay Baruchel,How to Train Your Dragon
Gerard Butler,How to Train Your Dragon
Christopher Mintz-Plasse,How to Train Your Dragon
Victor Sjöström,Wild Strawberries
Bibi Andersson,Wild Strawberries
Ingrid Thulin,Wild Strawberries
Yves Montand,The Wages of Fear
Charles Vanel,The Wages of Fear
Peter van Eyck,The Wages of Fear
Toni Collette,Mary and Max
Philip Seymour Hoffman,Mary and Max
Eric Bana,Mary and Max
James Stewart,Mr
Jean Arthur,Mr
Claude Rains,Mr
Brad Garrett,Ratatouille
Lou Romano,Ratatouille
Patton Oswalt,Ratatouille
Matt Damon,Ford v Ferrari
Christian Bale,Ford v Ferrari
Jon Bernthal,Ford v Ferrari
Chishû Ryû,Tokyo Story
Chieko Higashiyama,Tokyo Story
Sô Yamamura,Tokyo Story
Jeff Bridges,The Big Lebowski
John Goodman,The Big Lebowski
Julianne Moore,The Big Lebowski
Brie Larson,Room
Jacob Tremblay,Room
Sean Bridgers,Room
Max von Sydow,The Seventh Seal
Gunnar Björnstrand,The Seventh Seal
Bengt Ekerot,The Seventh Seal
Sylvester Stallone,Rocky
Talia Shire,Rocky
Burt Young,Rocky
Hugh Jackman,Logan
Patrick Stewart,Logan
Dafne Keen,Logan
Mark Ruffalo,Spotlight
Michael Keaton,Spotlight
Rachel McAdams,Spotlight
Don Cheadle,Hotel Rwanda
Sophie Okonedo,Hotel Rwanda
Joaquin Phoenix,Hotel Rwanda
Arnold Schwarzenegger,The Terminator
Linda Hamilton,The Terminator
Michael Biehn,The Terminator
Charlie Sheen,Platoon
Tom Berenger,Platoon
Willem Dafoe,Platoon
Maria Falconetti,The Passion of Joan of Arc
Eugene Silvain,The Passion of Joan of Arc
André Berley,The Passion of Joan of Arc
Vincent Cassel,La haine
Hubert Koundé,La haine
Saïd Taghmaoui,La haine
Ethan Hawke,Before Sunset
Julie Delpy,Before Sunset
Vernon Dobtcheff,Before Sunset
Myrna Loy,The Best Years of Our Lives
Dana Andrews,The Best Years of Our Lives
Fredric March,The Best Years of Our Lives
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
Geoffrey Rush,Pirates of the Caribbean: The Curse of the Black Pearl
Orlando Bloom,Pirates of the Caribbean: The Curse of the Black Pearl
Ellen Burstyn,The Exorcist
Max von Sydow,The Exorcist
Linda Blair,The Exorcist
Daniel Brühl,Rush
Chris Hemsworth,Rush
Olivia Wilde,Rush
Faye Dunaway,Network
William Holden,Network
Peter Finch,Network
Wil Wheaton,Stand by Me
River Phoenix,Stand by Me
Corey Feldman,Stand by Me
Judy Garland,The Wizard of Oz
Frank Morgan,The Wizard of Oz
Ray Bolger,The Wizard of Oz
Suriya,Jai Bhim
Lijo Mol Jose,Jai Bhim
Manikandan K.,Jai Bhim
Craig T. Nelson,The Incredibles
Samuel L. Jackson,The Incredibles
Holly Hunter,The Incredibles
Richard Gere,Hachi: A Dog's Tale
Joan Allen,Hachi: A Dog's Tale
Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale
Kim Min-hee,The Handmaiden
Ha Jung-woo,The Handmaiden
Cho Jin-woong,The Handmaiden
Emile Hirsch,Into the Wild
Vince Vaughn,Into the Wild
Catherine Keener,Into the Wild
Çetin Tekindor,My Father and My Son
Fikret Kuskan,My Father and My Son
Hümeyra,My Father and My Son
Julie Andrews,The Sound of Music
Christopher Plummer,The Sound of Music
Eleanor Parker,The Sound of Music
Carole Lombard,To Be or Not to Be
Jack Benny,To Be or Not to Be
Robert Stack,To Be or Not to Be
Brahim Hadjadj,The Battle of Algiers
Jean Martin,The Battle of Algiers
Yacef Saadi,The Battle of Algiers
Henry Fonda,The Grapes of Wrath
Jane Darwell,The Grapes of Wrath
John Carradine,The Grapes of Wrath
Bill Murray,Groundhog Day
Andie MacDowell,Groundhog Day
Chris Elliott,Groundhog Day
Emilio Echevarría,Amores Perros
Gael García Bernal,Amores Perros
Goya Toledo,Amores Perros
Laurence Olivier,Rebecca
Joan Fontaine,Rebecca
George Sanders,Rebecca
Eli Marienthal,The Iron Giant
Harry Connick Jr.,The Iron Giant
Jennifer Aniston,The Iron Giant
Paul Newman,Cool Hand Luke
George Kennedy,Cool Hand Luke
Strother Martin,Cool Hand Luke
Viola Davis,The Help
Emma Stone,The Help
Octavia Spencer,The Help
Clark Gable,It Happened One Night
Claudette Colbert,It Happened One Night
Walter Connolly,It Happened One Night
Scott Weinger,Aladdin
Robin Williams,Aladdin
Linda Larkin,Aladdin
Kevin Costner,Dances with Wolves
Mary McDonnell,Dances with Wolves
Graham Greene,Dances with Wolves
Ajay Devgn,Drishyam
Shriya Saran,Drishyam
Tabu,Drishyam
Harry Dean Stanton,"Paris, Texas"
Nastassja Kinski,"Paris, Texas"
Dean Stockwell,"Paris, Texas"
